,activation_0,activation_1,activation_2,dist,id,vel
46,"[ 173.54602051   68.17225647   37.8524437   164.95994568   19.12376976
   64.52261353   72.71291351  149.85263062   50.07365417   48.74781418]","[  7.08445978e+00   8.07762337e+00   4.67875719e+00   4.26971388e+00
   2.42020106e+00   2.15112042e+00   5.47825098e+00   4.31422091e+00
   4.97836620e-03   2.09234486e+01]","[ 216.34793091   81.87323761  138.92111206  118.81302643   81.14518738
  238.28205872  158.68946838  118.18054199  179.51094055  205.00968933]",16.9502182007,0,2.0
47,"[  68.17225647   37.8524437   164.95994568   19.12376976   64.52261353
   72.71291351  149.85263062   50.07365417   48.74781418  710.49145508]","[  8.07762337e+00   4.67875719e+00   4.26971388e+00   2.42020106e+00
   2.15112042e+00   5.47825098e+00   4.31422091e+00   4.97836620e-03
   2.09234486e+01   1.21540499e+00]","[  81.87323761  138.92111206  118.81302643   81.14518738  238.28205872
  158.68946838  118.18054199  179.51094055  205.00968933   36.14014816]",16.5433502197,0,2.0
48,"[  37.8524437   164.95994568   19.12376976   64.52261353   72.71291351
  149.85263062   50.07365417   48.74781418  710.49145508   22.66705894]","[  4.67875719e+00   4.26971388e+00   2.42020106e+00   2.15112042e+00
   5.47825098e+00   4.31422091e+00   4.97836620e-03   2.09234486e+01
   1.21540499e+00   3.22998953e+00]","[ 138.92111206  118.81302643   81.14518738  238.28205872  158.68946838
  118.18054199  179.51094055  205.00968933   36.14014816  159.85057068]",16.3402309418,0,2.0
49,"[ 164.95994568   19.12376976   64.52261353   72.71291351  149.85263062
   50.07365417   48.74781418  710.49145508   22.66705894  172.84481812]","[  4.26971388e+00   2.42020106e+00   2.15112042e+00   5.47825098e+00
   4.31422091e+00   4.97836620e-03   2.09234486e+01   1.21540499e+00
   3.22998953e+00   3.00765705e+00]","[ 118.81302643   81.14518738  238.28205872  158.68946838  118.18054199
  179.51094055  205.00968933   36.14014816  159.85057068   49.08444595]",16.1368656158,0,2.0
50,"[  19.12376976   64.52261353   72.71291351  149.85263062   50.07365417
   48.74781418  710.49145508   22.66705894  172.84481812   40.69435501]","[  2.42020106e+00   2.15112042e+00   5.47825098e+00   4.31422091e+00
   4.97836620e-03   2.09234486e+01   1.21540499e+00   3.22998953e+00
   3.00765705e+00   6.22659159e+00]","[  81.14518738  238.28205872  158.68946838  118.18054199  179.51094055
  205.00968933   36.14014816  159.85057068   49.08444595  194.69911194]",15.9338788986,0,2.0
51,"[  64.52261353   72.71291351  149.85263062   50.07365417   48.74781418
  710.49145508   22.66705894  172.84481812   40.69435501  102.137146  ]","[  2.15112042e+00   5.47825098e+00   4.31422091e+00   4.97836620e-03
   2.09234486e+01   1.21540499e+00   3.22998953e+00   3.00765705e+00
   6.22659159e+00   7.16465712e+00]","[ 238.28205872  158.68946838  118.18054199  179.51094055  205.00968933
   36.14014816  159.85057068   49.08444595  194.69911194  271.00112915]",15.7308759689,0,2.0
52,"[  72.71291351  149.85263062   50.07365417   48.74781418  710.49145508
   22.66705894  172.84481812   40.69435501  102.137146    252.94877625]","[  5.47825098e+00   4.31422091e+00   4.97836620e-03   2.09234486e+01
   1.21540499e+00   3.22998953e+00   3.00765705e+00   6.22659159e+00
   7.16465712e+00   9.91426086e+00]","[ 158.68946838  118.18054199  179.51094055  205.00968933   36.14014816
  159.85057068   49.08444595  194.69911194  271.00112915   83.0565567 ]",15.3236837387,0,2.0
53,"[ 149.85263062   50.07365417   48.74781418  710.49145508   22.66705894
  172.84481812   40.69435501  102.137146    252.94877625   10.96796417]","[  4.31422091e+00   4.97836620e-03   2.09234486e+01   1.21540499e+00
   3.22998953e+00   3.00765705e+00   6.22659159e+00   7.16465712e+00
   9.91426086e+00   1.15926685e+01]","[ 118.18054199  179.51094055  205.00968933   36.14014816  159.85057068
   49.08444595  194.69911194  271.00112915   83.0565567   327.57629395]",15.119846344,0,2.0
54,"[  50.07365417   48.74781418  710.49145508   22.66705894  172.84481812
   40.69435501  102.137146    252.94877625   10.96796417  136.73612976]","[  4.97836620e-03   2.09234486e+01   1.21540499e+00   3.22998953e+00
   3.00765705e+00   6.22659159e+00   7.16465712e+00   9.91426086e+00
   1.15926685e+01   9.98754787e+00]","[ 179.51094055  205.00968933   36.14014816  159.85057068   49.08444595
  194.69911194  271.00112915   83.0565567   327.57629395  298.57266235]",14.9160051346,0,2.0
55,"[  48.74781418  710.49145508   22.66705894  172.84481812   40.69435501
  102.137146    252.94877625   10.96796417  136.73612976  260.83639526]","[ 20.92344856   1.21540499   3.22998953   3.00765705   6.22659159
   7.16465712   9.91426086  11.59266853   9.98754787  16.68844986]","[ 205.00968933   36.14014816  159.85057068   49.08444595  194.69911194
  271.00112915   83.0565567   327.57629395  298.57266235  131.97483826]",14.7121963501,0,2.0
56,"[ 710.49145508   22.66705894  172.84481812   40.69435501  102.137146
  252.94877625   10.96796417  136.73612976  260.83639526  115.72919464]","[  1.21540499   3.22998953   3.00765705   6.22659159   7.16465712
   9.91426086  11.59266853   9.98754787  16.68844986  23.26733398]","[  36.14014816  159.85057068   49.08444595  194.69911194  271.00112915
   83.0565567   327.57629395  298.57266235  131.97483826  311.51309204]",14.5081167221,0,2.0
