,activation_0,activation_1,dist,id,vel,"('activation_2',)"
75,"[ 335.73233032  507.78720093  298.59631348  289.37335205  406.39321899
  558.93029785  510.9644165   557.60632324  395.15829468  341.44351196]","[ 12.18164539  23.52700615  29.85991287  29.34387207  13.35654068
  40.46438217  25.85759735  36.7643013   28.19850922  26.7638092 ]",10.5374898911,0,2.0,"[ 266.63516235  119.67321014  117.99826813  297.84588623  231.41435242
  196.69496155  362.87936401  268.06842041  118.85666656  104.07594299]"
76,"[  507.78720093   298.59631348   289.37335205   406.39321899   558.93029785
   510.9644165    557.60632324   395.15829468   341.44351196  1265.25305176]","[ 23.52700615  29.85991287  29.34387207  13.35654068  40.46438217
  25.85759735  36.7643013   28.19850922  26.7638092   72.42907715]",10.1250190735,0,2.0,"[ 119.67321014  117.99826813  297.84588623  231.41435242  196.69496155
  362.87936401  268.06842041  118.85666656  104.07594299   16.24959564]"
77,"[  298.59631348   289.37335205   406.39321899   558.93029785   510.9644165
   557.60632324   395.15829468   341.44351196  1265.25305176   670.77832031]","[ 29.85991287  29.34387207  13.35654068  40.46438217  25.85759735
  36.7643013   28.19850922  26.7638092   72.42907715  25.88306618]",9.91911411285,0,2.0,"[ 117.99826813  297.84588623  231.41435242  196.69496155  362.87936401
  268.06842041  118.85666656  104.07594299   16.24959564   71.14147949]"
78,"[  289.37335205   406.39321899   558.93029785   510.9644165    557.60632324
   395.15829468   341.44351196  1265.25305176   670.77832031   534.54663086]","[ 29.34387207  13.35654068  40.46438217  25.85759735  36.7643013
  28.19850922  26.7638092   72.42907715  25.88306618  27.99139977]",9.71322441101,0,2.0,"[ 297.84588623  231.41435242  196.69496155  362.87936401  268.06842041
  118.85666656  104.07594299   16.24959564   71.14147949  268.92050171]"
79,"[  406.39321899   558.93029785   510.9644165    557.60632324   395.15829468
   341.44351196  1265.25305176   670.77832031   534.54663086   851.33990479]","[ 13.35654068  40.46438217  25.85759735  36.7643013   28.19850922
  26.7638092   72.42907715  25.88306618  27.99139977  56.54742813]",9.30209350586,0,2.0,"[ 231.41435242  196.69496155  362.87936401  268.06842041  118.85666656
  104.07594299   16.24959564   71.14147949  268.92050171  126.90739441]"
80,"[  558.93029785   510.9644165    557.60632324   395.15829468   341.44351196
  1265.25305176   670.77832031   534.54663086   851.33990479   636.26885986]","[ 40.46438217  25.85759735  36.7643013   28.19850922  26.7638092
  72.42907715  25.88306618  27.99139977  56.54742813  53.02217865]",9.09723377228,0,2.0,"[ 196.69496155  362.87936401  268.06842041  118.85666656  104.07594299
   16.24959564   71.14147949  268.92050171  126.90739441  229.30276489]"
81,"[  510.9644165    557.60632324   395.15829468   341.44351196  1265.25305176
   670.77832031   534.54663086   851.33990479   636.26885986   570.47961426]","[ 25.85759735  36.7643013   28.19850922  26.7638092   72.42907715
  25.88306618  27.99139977  56.54742813  53.02217865  38.91857147]",8.89235115051,0,2.0,"[ 362.87936401  268.06842041  118.85666656  104.07594299   16.24959564
   71.14147949  268.92050171  126.90739441  229.30276489  223.62533569]"
82,"[  557.60632324   395.15829468   341.44351196  1265.25305176   670.77832031
   534.54663086   851.33990479   636.26885986   570.47961426   445.98312378]","[ 36.7643013   28.19850922  26.7638092   72.42907715  25.88306618
  27.99139977  56.54742813  53.02217865  38.91857147  37.89200211]",8.68793392181,0,2.0,"[ 268.06842041  118.85666656  104.07594299   16.24959564   71.14147949
  268.92050171  126.90739441  229.30276489  223.62533569   64.97640228]"
83,"[  395.15829468   341.44351196  1265.25305176   670.77832031   534.54663086
   851.33990479   636.26885986   570.47961426   445.98312378   557.67541504]","[ 28.19850922  26.7638092   72.42907715  25.88306618  27.99139977
  56.54742813  53.02217865  38.91857147  37.89200211  44.0341835 ]",8.48330783844,0,2.0,"[ 118.85666656  104.07594299   16.24959564   71.14147949  268.92050171
  126.90739441  229.30276489  223.62533569   64.97640228  209.15287781]"
84,"[  341.44351196  1265.25305176   670.77832031   534.54663086   851.33990479
   636.26885986   570.47961426   445.98312378   557.67541504   572.99237061]","[ 26.7638092   72.42907715  25.88306618  27.99139977  56.54742813
  53.02217865  38.91857147  37.89200211  44.0341835   50.1634903 ]",8.27922916412,0,2.0,"[ 104.07594299   16.24959564   71.14147949  268.92050171  126.90739441
  229.30276489  223.62533569   64.97640228  209.15287781  315.02700806]"
85,"[ 1265.25305176   670.77832031   534.54663086   851.33990479   636.26885986
   570.47961426   445.98312378   557.67541504   572.99237061   519.7467041 ]","[ 72.42907715  25.88306618  27.99139977  56.54742813  53.02217865
  38.91857147  37.89200211  44.0341835   50.1634903   41.92036438]",8.07494354248,0,2.0,"[  16.24959564   71.14147949  268.92050171  126.90739441  229.30276489
  223.62533569   64.97640228  209.15287781  315.02700806  127.10159302]"
86,"[ 670.77832031  534.54663086  851.33990479  636.26885986  570.47961426
  445.98312378  557.67541504  572.99237061  519.7467041   728.16241455]","[ 25.88306618  27.99139977  56.54742813  53.02217865  38.91857147
  37.89200211  44.0341835   50.1634903   41.92036438  48.89630127]",7.87102174759,0,2.0,"[  71.14147949  268.92050171  126.90739441  229.30276489  223.62533569
   64.97640228  209.15287781  315.02700806  127.10159302  108.99898529]"
87,"[ 534.54663086  851.33990479  636.26885986  570.47961426  445.98312378
  557.67541504  572.99237061  519.7467041   728.16241455  735.07946777]","[ 27.99139977  56.54742813  53.02217865  38.91857147  37.89200211
  44.0341835   50.1634903   41.92036438  48.89630127  67.07736206]",7.66637325287,0,2.0,"[ 268.92050171  126.90739441  229.30276489  223.62533569   64.97640228
  209.15287781  315.02700806  127.10159302  108.99898529  222.02223206]"
88,"[ 851.33990479  636.26885986  570.47961426  445.98312378  557.67541504
  572.99237061  519.7467041   728.16241455  735.07946777  666.28564453]","[ 56.54742813  53.02217865  38.91857147  37.89200211  44.0341835
  50.1634903   41.92036438  48.89630127  67.07736206  48.80385208]",7.46186590195,0,2.0,"[ 126.90739441  229.30276489  223.62533569   64.97640228  209.15287781
  315.02700806  127.10159302  108.99898529  222.02223206  172.33872986]"
89,"[ 636.26885986  570.47961426  445.98312378  557.67541504  572.99237061
  519.7467041   728.16241455  735.07946777  666.28564453  738.32910156]","[ 53.02217865  38.91857147  37.89200211  44.0341835   50.1634903
  41.92036438  48.89630127  67.07736206  48.80385208  45.46385193]",7.25678443909,0,2.0,"[ 229.30276489  223.62533569   64.97640228  209.15287781  315.02700806
  127.10159302  108.99898529  222.02223206  172.33872986   90.58985138]"
90,"[ 570.47961426  445.98312378  557.67541504  572.99237061  519.7467041
  728.16241455  735.07946777  666.28564453  738.32910156  815.4342041 ]","[ 38.91857147  37.89200211  44.0341835   50.1634903   41.92036438
  48.89630127  67.07736206  48.80385208  45.46385193  53.48151016]",7.05178117752,0,2.0,"[ 223.62533569   64.97640228  209.15287781  315.02700806  127.10159302
  108.99898529  222.02223206  172.33872986   90.58985138  263.65179443]"
